time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20160101:0000,15.63,59.61,0.0,-0.0,0.0,352.55,0.99,74.0,74183.0
20160101:0100,15.17,62.23,0.0,-0.0,0.0,354.02,1.0,94.0,74271.0
20160101:0200,14.71,64.85,0.0,-0.0,0.0,355.49,1.01,100.0,74359.0
20160101:0300,14.25,67.47,0.0,-0.0,0.0,356.96,1.02,101.0,74381.0
20160101:0400,13.78,70.09,0.0,-0.0,0.0,358.43,1.03,100.0,74352.0
20160101:0500,13.32,72.71,0.0,-0.0,0.0,359.9,1.04,99.0,74330.0
20160101:0600,12.86,75.33,0.0,-0.0,0.0,361.37,1.04,103.0,74293.0
20160101:0700,12.4,77.95,0.0,-0.0,0.0,362.84,1.05,118.0,74264.0
20160101:0800,12.92,64.4,0.0,-0.0,0.0,373.8,1.24,114.0,74235.0
20160101:0900,12.91,64.1,0.0,-0.0,0.0,378.2,1.31,112.0,74257.0
20160101:1000,12.94,63.7,0.0,-0.0,0.0,377.4,1.17,110.0,74300.0
20160101:1100,12.98,63.4,0.0,-0.0,0.0,377.6,1.24,110.0,74322.0
20160101:1200,13.12,63.65,141.25,288.06,81.95,361.8,1.31,112.0,74366.0
20160101:1300,14.08,59.2,315.4,417.08,137.25,352.8,1.45,112.0,74381.0
20160101:1400,15.61,54.05,535.45,656.56,130.25,358.4,1.38,119.0,74330.0
20160101:1500,17.71,47.0,610.15,543.47,195.5,350.4,1.66,128.0,74264.0
20160101:1600,19.4,40.95,658.2,554.91,183.95,370.4,1.52,146.0,74161.0
20160101:1700,20.91,36.4,668.6,532.84,196.55,363.8,0.97,186.0,74066.0
20160101:1800,20.96,37.15,761.6,689.03,172.7,363.8,0.62,281.0,74015.0
20160101:1900,20.74,40.2,593.65,560.26,166.15,353.0,0.9,268.0,73971.0
20160101:2000,20.59,40.3,356.55,315.59,161.75,347.0,0.76,276.0,73927.0
20160101:2100,19.45,45.35,244.55,382.67,81.05,367.8,0.9,312.0,73905.0
20160101:2200,18.25,50.65,39.75,78.4,23.6,345.8,0.9,336.0,73920.0
20160101:2300,16.85,58.8,0.0,-0.0,0.0,354.2,0.62,339.0,74059.0
20160102:0000,15.66,65.75,0.0,-0.0,0.0,357.6,0.62,13.0,74154.0
20160102:0100,14.9,70.85,0.0,-0.0,0.0,355.45,0.76,66.0,74257.0
20160102:0200,14.42,74.25,0.0,-0.0,0.0,362.2,0.83,68.0,74396.0
20160102:0300,14.04,78.05,0.0,-0.0,0.0,375.4,0.76,75.0,74447.0
20160102:0400,13.34,82.3,0.0,-0.0,0.0,350.2,0.76,77.0,74454.0
20160102:0500,12.8,89.0,0.0,-0.0,0.0,366.8,0.69,86.0,74454.0
20160102:0600,12.54,91.05,0.0,-0.0,0.0,365.4,0.76,88.0,74374.0
20160102:0700,12.7,76.25,0.0,-0.0,0.0,366.2,0.9,103.0,74359.0
20160102:0800,12.4,77.0,0.0,-0.0,0.0,353.4,0.76,97.0,74344.0
20160102:0900,12.32,77.0,0.0,-0.0,0.0,358.4,0.83,98.0,74337.0
20160102:1000,12.53,75.1,0.0,-0.0,0.0,367.4,0.9,105.0,74374.0
20160102:1100,12.58,74.95,0.0,-0.0,0.0,365.6,0.83,98.0,74366.0
20160102:1200,13.05,72.85,133.0,192.03,93.75,367.0,1.03,104.0,74425.0
20160102:1300,14.13,65.3,282.5,343.9,136.0,368.8,1.24,116.0,74483.0
20160102:1400,15.83,57.4,391.45,282.28,217.45,361.0,1.1,135.0,74454.0
20160102:1500,17.15,52.2,464.8,288.06,245.1,365.0,0.69,172.0,74396.0
20160102:1600,18.2,48.2,501.9,293.62,250.9,369.4,0.55,222.0,74300.0
20160102:1700,18.12,50.45,498.85,301.32,231.7,374.4,0.76,281.0,74227.0
20160102:1800,17.54,55.15,514.8,305.44,253.4,385.2,0.76,312.0,74161.0
20160102:1900,18.26,51.25,412.45,257.6,215.5,385.2,0.62,278.0,74052.0
20160102:2000,17.38,56.75,273.15,224.86,133.95,383.2,0.83,308.0,74052.0
20160102:2100,15.51,67.1,147.45,175.79,72.0,375.0,0.41,340.0,74052.0
20160102:2200,14.66,75.1,38.7,77.17,22.65,375.6,0.76,17.0,74242.0
20160102:2300,13.6,81.6,0.0,-0.0,0.0,362.6,0.83,64.0,74286.0
20160103:0000,13.14,86.85,0.0,-0.0,0.0,368.2,0.83,85.0,74322.0
20160103:0100,12.93,89.0,0.0,-0.0,0.0,362.65,0.9,89.0,74374.0
20160103:0200,12.66,90.55,0.0,-0.0,0.0,359.4,0.97,86.0,74447.0
20160103:0300,12.53,91.35,0.0,-0.0,0.0,363.6,0.97,88.0,74469.0
20160103:0400,12.42,91.45,0.0,-0.0,0.0,366.2,1.03,88.0,74461.0
20160103:0500,12.09,91.9,0.0,-0.0,0.0,357.0,1.1,88.0,74454.0
20160103:0600,11.82,92.15,0.0,-0.0,0.0,357.2,1.03,92.0,74396.0
20160103:0700,11.84,81.0,0.0,-0.0,0.0,360.6,1.24,95.0,74352.0
20160103:0800,11.77,80.85,0.0,-0.0,0.0,353.6,1.17,95.0,74322.0
20160103:0900,11.72,80.85,0.0,-0.0,0.0,355.2,1.1,92.0,74330.0
20160103:1000,11.83,80.0,0.0,-0.0,0.0,363.6,0.97,93.0,74374.0
20160103:1100,11.59,80.8,0.0,-0.0,0.0,350.6,0.97,91.0,74417.0
20160103:1200,11.81,82.25,189.0,527.91,81.85,350.0,1.03,96.0,74469.0
20160103:1300,13.62,72.25,395.85,705.0,96.3,349.6,1.1,107.0,74491.0
20160103:1400,15.75,61.85,571.65,661.9,164.1,347.6,0.69,138.0,74410.0
20160103:1500,17.75,52.65,665.5,629.27,185.7,350.4,0.48,189.0,74359.0
20160103:1600,18.89,48.7,738.65,637.51,193.5,362.8,0.62,245.0,74286.0
20160103:1700,19.0,50.05,671.65,488.08,238.55,366.8,0.97,264.0,74205.0
20160103:1800,18.19,55.0,759.6,669.72,185.65,363.4,0.83,248.0,74118.0
20160103:1900,19.31,50.2,547.15,532.83,138.95,361.8,0.76,235.0,74052.0
20160103:2000,18.7,51.85,382.3,377.3,148.05,366.2,0.62,288.0,73986.0
20160103:2100,17.25,59.5,191.75,239.81,88.35,369.0,0.34,290.0,74008.0
20160103:2200,15.84,66.4,44.25,102.39,22.75,367.4,0.69,16.0,74081.0
20160103:2300,14.95,73.15,0.0,-0.0,0.0,361.4,0.76,35.0,74176.0
20160104:0000,14.42,76.7,0.0,-0.0,0.0,353.8,0.62,59.0,74293.0
20160104:0100,13.57,81.95,0.0,-0.0,0.0,351.45,0.9,65.0,74417.0
20160104:0200,12.58,96.25,0.0,-0.0,0.0,361.4,1.03,83.0,74469.0
20160104:0300,12.28,97.7,0.0,-0.0,0.0,364.0,0.97,93.0,74483.0
20160104:0400,12.18,98.2,0.0,-0.0,0.0,369.6,0.83,92.0,74469.0
20160104:0500,12.01,98.95,0.0,-0.0,0.0,364.2,0.9,94.0,74439.0
20160104:0600,11.85,99.25,0.0,-0.0,0.0,366.2,0.76,101.0,74403.0
20160104:0700,11.95,96.0,0.0,-0.0,0.0,363.8,0.62,92.0,74366.0
20160104:0800,12.06,95.25,0.0,-0.0,0.0,369.2,0.48,85.0,74322.0
20160104:0900,12.14,93.85,0.0,-0.0,0.0,368.2,0.69,77.0,74330.0
20160104:1000,11.83,95.25,0.0,-0.0,0.0,354.2,0.62,74.0,74359.0
20160104:1100,12.01,95.0,0.0,-0.0,0.0,371.6,0.62,77.0,74417.0
20160104:1200,12.48,93.3,140.8,318.24,76.65,372.4,0.55,79.0,74483.0
20160104:1300,13.36,85.55,231.1,273.22,115.3,366.6,0.48,106.0,74527.0
20160104:1400,14.1,80.3,392.95,355.39,174.35,362.4,0.28,118.0,74513.0
20160104:1500,15.75,71.05,531.0,363.57,253.85,366.6,0.07,248.0,74454.0
20160104:1600,17.11,66.6,771.0,652.12,213.15,354.2,0.55,290.0,74374.0
20160104:1700,18.57,64.8,654.3,411.75,288.6,350.0,1.31,281.0,74242.0
20160104:1800,16.74,75.9,620.7,435.08,247.3,377.8,1.24,287.0,74264.0
20160104:1900,16.9,71.95,464.45,369.88,180.5,368.8,1.1,290.0,74198.0
20160104:2000,17.19,74.35,363.05,335.39,154.2,363.2,1.31,270.0,74140.0
20160104:2100,15.18,78.05,196.6,248.75,88.85,371.0,1.03,274.0,74220.0
20160104:2200,14.78,81.95,45.65,86.09,27.4,361.8,0.69,289.0,74359.0
20160104:2300,13.91,89.85,0.0,-0.0,0.0,353.0,0.21,248.0,74366.0
20160105:0000,13.58,87.3,0.0,-0.0,0.0,350.0,0.48,170.0,74454.0
20160105:0100,12.75,96.4,0.0,-0.0,0.0,350.85,0.69,120.0,74520.0
20160105:0200,11.86,97.7,0.0,-0.0,0.0,344.0,0.9,101.0,74564.0
20160105:0300,11.49,98.75,0.0,-0.0,0.0,343.0,0.97,99.0,74600.0
20160105:0400,11.61,99.0,0.0,-0.0,0.0,363.2,0.69,83.0,74571.0
20160105:0500,11.51,99.2,0.0,-0.0,0.0,353.6,0.83,72.0,74549.0
20160105:0600,11.5,99.2,0.0,-0.0,0.0,360.4,0.76,103.0,74513.0
20160105:0700,11.21,99.5,0.0,-0.0,0.0,350.8,0.9,94.0,74476.0
20160105:0800,10.84,99.25,0.0,-0.0,0.0,346.0,0.9,95.0,74447.0
20160105:0900,10.31,99.55,0.0,-0.0,0.0,341.6,0.9,104.0,74447.0
20160105:1000,9.87,98.95,0.0,-0.0,0.0,341.6,1.03,103.0,74520.0
20160105:1100,9.68,98.4,0.0,-0.0,0.0,344.2,1.03,100.0,74520.0
20160105:1200,10.55,96.35,216.5,678.97,80.55,333.2,0.83,88.0,74578.0
20160105:1300,12.99,87.6,412.7,627.43,147.4,345.2,0.14,84.0,74666.0
20160105:1400,15.17,75.45,575.7,690.14,151.6,362.0,0.34,297.0,74652.0
20160105:1500,16.84,66.9,666.25,591.18,215.65,350.0,0.83,291.0,74586.0
20160105:1600,17.86,65.45,776.15,695.23,181.15,365.6,1.45,286.0,74498.0
20160105:1700,16.77,75.45,731.3,604.65,193.75,356.6,1.59,277.0,74417.0
20160105:1800,18.44,79.35,692.55,630.47,150.65,356.4,1.66,276.0,74344.0
20160105:1900,16.88,76.85,534.05,457.61,182.0,364.2,1.45,289.0,74271.0
20160105:2000,16.78,79.95,437.15,487.53,132.65,358.8,1.52,304.0,74198.0
20160105:2100,17.11,74.85,224.3,298.74,94.3,352.2,1.79,316.0,74176.0
20160105:2200,15.88,79.45,51.4,132.49,23.05,350.6,1.17,298.0,74205.0
20160105:2300,14.27,87.35,0.0,-0.0,0.0,354.2,0.55,265.0,74352.0
20160106:0000,12.84,92.2,0.0,-0.0,0.0,352.8,0.34,32.0,74425.0
20160106:0100,12.92,93.55,0.0,-0.0,0.0,363.45,0.48,96.0,74505.0
20160106:0200,12.41,94.95,0.0,-0.0,0.0,356.4,0.62,120.0,74564.0
20160106:0300,12.13,95.35,0.0,-0.0,0.0,351.2,0.62,140.0,74622.0
20160106:0400,11.94,98.7,0.0,-0.0,0.0,367.0,0.48,159.0,74608.0
20160106:0500,12.03,98.85,0.0,-0.0,0.0,380.0,0.34,177.0,74578.0
20160106:0600,12.17,98.7,0.0,-0.0,0.0,380.4,0.14,189.0,74527.0
20160106:0700,12.31,97.55,0.0,-0.0,0.0,388.4,0.07,186.0,74527.0
20160106:0800,12.36,96.65,0.0,-0.0,0.0,381.6,0.14,173.0,74491.0
20160106:0900,12.33,96.75,0.0,-0.0,0.0,379.6,0.14,143.0,74476.0
20160106:1000,12.19,93.5,0.0,-0.0,0.0,376.8,0.28,170.0,74513.0
20160106:1100,12.1,95.55,0.0,-0.0,0.0,375.8,0.14,122.0,74542.0
20160106:1200,12.35,96.25,106.0,259.15,54.45,369.6,0.07,121.0,74600.0
20160106:1300,13.37,94.35,228.1,206.57,140.95,376.8,0.28,236.0,74637.0
20160106:1400,14.65,91.4,529.65,595.21,164.2,371.0,0.55,272.0,74659.0
20160106:1500,16.42,86.75,639.3,582.37,195.45,358.2,1.1,269.0,74630.0
20160106:1600,16.59,83.8,616.65,473.51,211.2,359.8,1.38,265.0,74542.0
20160106:1700,17.1,80.75,676.9,437.23,287.8,370.0,1.66,263.0,74483.0
20160106:1800,16.7,79.15,530.65,343.33,235.1,358.2,1.31,277.0,74374.0
20160106:1900,16.88,78.75,535.95,433.21,201.95,379.4,1.24,256.0,74264.0
20160106:2000,16.3,80.95,323.2,227.06,180.95,377.0,1.38,250.0,74308.0
20160106:2100,15.62,86.95,199.4,244.29,92.6,370.0,1.31,261.0,74322.0
20160106:2200,14.6,87.0,47.7,79.64,30.5,374.8,0.9,262.0,74403.0
20160106:2300,13.61,92.75,0.0,-0.0,0.0,360.6,0.41,249.0,74381.0
20160107:0000,13.2,94.45,0.0,-0.0,0.0,348.0,0.34,68.0,74447.0
20160107:0100,13.05,94.8,0.0,-0.0,0.0,363.85,0.55,103.0,74520.0
20160107:0200,12.69,96.95,0.0,-0.0,0.0,359.6,0.21,43.0,74615.0
20160107:0300,12.27,98.1,0.0,-0.0,0.0,365.6,0.0,325.0,74659.0
20160107:0400,12.36,96.85,0.0,-0.0,0.0,372.8,0.07,2.0,74644.0
20160107:0500,12.65,98.5,0.0,-0.0,0.0,373.4,0.21,20.0,74593.0
20160107:0600,12.32,99.15,0.0,-0.0,0.0,368.6,0.21,28.0,74571.0
20160107:0700,11.82,97.9,0.0,-0.0,0.0,361.0,0.34,96.0,74498.0
20160107:0800,11.69,98.0,0.0,-0.0,0.0,356.6,0.41,94.0,74461.0
20160107:0900,11.72,97.45,0.0,-0.0,0.0,359.2,0.55,110.0,74447.0
20160107:1000,11.64,97.7,0.0,-0.0,0.0,359.8,0.62,110.0,74439.0
20160107:1100,11.59,97.85,0.0,-0.0,0.0,358.2,0.69,95.0,74476.0
20160107:1200,12.28,96.2,177.2,457.37,86.8,362.8,0.69,95.0,74535.0
20160107:1300,13.72,89.2,334.35,495.04,125.95,356.2,0.48,118.0,74593.0
20160107:1400,15.5,78.2,474.0,476.51,181.65,374.2,0.41,186.0,74608.0
20160107:1500,16.82,68.85,528.55,310.89,291.6,363.0,0.62,239.0,74542.0
20160107:1600,17.38,67.35,730.8,579.91,233.95,381.2,0.97,257.0,74520.0
20160107:1700,18.33,68.4,660.75,487.32,226.6,373.2,1.38,270.0,74454.0
20160107:1800,16.72,79.2,582.1,438.23,204.25,371.2,1.52,260.0,74359.0
20160107:1900,16.92,85.0,487.2,416.79,165.15,378.6,1.59,260.0,74271.0
20160107:2000,16.92,88.8,351.45,291.93,168.0,369.4,1.52,256.0,74227.0
20160107:2100,15.97,92.05,164.8,167.35,91.3,371.8,1.17,253.0,74198.0
20160107:2200,14.81,92.0,42.1,88.54,22.8,371.8,1.24,259.0,74315.0
20160107:2300,13.28,93.9,0.0,-0.0,0.0,365.6,0.69,336.0,74344.0
20160108:0000,13.09,97.05,0.0,-0.0,0.0,369.8,0.21,102.0,74396.0
20160108:0100,12.84,98.15,0.0,-0.0,0.0,359.45,0.28,112.0,74469.0
20160108:0200,12.64,99.05,0.0,-0.0,0.0,357.2,0.48,104.0,74498.0
20160108:0300,12.48,99.0,0.0,-0.0,0.0,360.0,0.69,120.0,74535.0
20160108:0400,12.21,99.75,0.0,-0.0,0.0,358.4,0.55,110.0,74535.0
20160108:0500,11.82,99.1,0.0,-0.0,0.0,359.4,0.62,115.0,74505.0
20160108:0600,11.87,98.45,0.0,-0.0,0.0,368.2,0.55,117.0,74461.0
20160108:0700,12.27,98.95,0.0,-0.0,0.0,366.6,0.48,100.0,74403.0
20160108:0800,12.26,98.65,0.0,-0.0,0.0,369.4,0.48,91.0,74359.0
20160108:0900,12.12,98.75,0.0,-0.0,0.0,362.8,0.55,92.0,74352.0
20160108:1000,11.79,99.15,0.0,-0.0,0.0,352.8,0.48,87.0,74366.0
20160108:1100,12.04,98.45,0.0,-0.0,0.0,375.8,0.48,114.0,74403.0
20160108:1200,12.11,97.65,112.9,83.75,96.45,369.8,0.62,127.0,74469.0
20160108:1300,12.88,92.55,196.25,144.12,135.7,376.6,0.41,126.0,74527.0
20160108:1400,13.62,89.2,449.2,409.39,198.2,376.8,0.14,297.0,74542.0
20160108:1500,15.3,80.7,610.45,470.07,252.15,363.8,0.83,298.0,74556.0
20160108:1600,16.89,70.0,475.3,219.46,287.15,359.0,1.38,296.0,74491.0
20160108:1700,16.66,71.9,703.0,503.25,254.15,384.0,1.52,287.0,74439.0
20160108:1800,17.68,71.6,660.45,489.68,237.55,376.2,1.72,279.0,74344.0
20160108:1900,18.5,86.3,563.65,484.36,188.55,366.2,1.59,268.0,74235.0
20160108:2000,17.88,86.3,284.6,205.68,154.95,373.8,1.45,279.0,74227.0
20160108:2100,16.36,84.35,151.65,87.37,113.1,376.4,1.03,267.0,74205.0
20160108:2200,15.13,87.0,39.5,39.78,30.75,370.4,1.17,289.0,74300.0
20160108:2300,13.92,90.95,0.0,-0.0,0.0,360.6,1.03,283.0,74315.0
20160109:0000,13.75,93.45,0.0,-0.0,0.0,368.2,0.69,291.0,74359.0
20160109:0100,13.54,94.15,0.0,-0.0,0.0,366.65,0.62,275.0,74396.0
20160109:0200,13.06,95.75,0.0,-0.0,0.0,367.8,0.41,299.0,74432.0
20160109:0300,13.01,96.4,0.0,-0.0,0.0,369.0,0.07,302.0,74447.0
20160109:0400,12.67,97.3,0.0,-0.0,0.0,357.6,0.14,55.0,74439.0
20160109:0500,12.72,97.0,0.0,-0.0,0.0,368.2,0.28,339.0,74417.0
20160109:0600,12.85,96.9,0.0,-0.0,0.0,376.0,0.55,312.0,74381.0
20160109:0700,12.62,96.8,0.0,-0.0,0.0,364.2,0.34,356.0,74344.0
20160109:0800,12.63,96.75,0.0,-0.0,0.0,372.2,0.14,14.0,74322.0
20160109:0900,12.48,97.6,0.0,-0.0,0.0,374.6,0.0,146.0,74337.0
20160109:1000,12.59,96.45,0.0,-0.0,0.0,376.6,0.28,160.0,74344.0
20160109:1100,12.36,97.3,0.0,-0.0,0.0,371.6,0.48,137.0,74352.0
20160109:1200,12.52,96.75,116.0,237.9,69.55,371.4,0.48,129.0,74454.0
20160109:1300,13.66,88.1,243.7,299.41,118.15,377.6,0.41,158.0,74491.0
20160109:1400,14.93,79.25,310.2,234.84,166.3,369.8,0.48,228.0,74469.0
20160109:1500,15.92,74.6,474.3,285.63,256.55,375.8,0.55,246.0,74417.0
20160109:1600,17.31,66.85,744.85,637.87,197.6,370.4,0.41,254.0,74330.0
20160109:1700,19.07,58.8,782.25,681.66,173.55,371.4,0.83,279.0,74242.0
20160109:1800,19.82,55.2,758.95,706.11,148.1,363.0,1.38,274.0,74147.0
20160109:1900,19.31,58.05,593.05,556.63,161.0,360.2,2.14,281.0,74066.0
20160109:2000,17.79,66.45,409.1,472.39,110.4,356.8,2.34,275.0,74037.0
20160109:2100,17.27,75.15,222.85,331.72,75.8,365.4,2.07,270.0,74081.0
20160109:2200,15.34,80.45,53.75,139.42,22.8,354.2,1.38,279.0,74205.0
20160109:2300,14.19,88.3,0.0,-0.0,0.0,360.6,1.17,289.0,74235.0
20160110:0000,13.86,90.7,0.0,-0.0,0.0,373.6,1.1,299.0,74308.0
20160110:0100,13.28,94.15,0.0,-0.0,0.0,354.65,0.55,292.0,74315.0
20160110:0200,13.06,98.75,0.0,-0.0,0.0,358.8,0.41,295.0,74396.0
20160110:0300,13.14,98.2,0.0,-0.0,0.0,365.2,0.48,281.0,74439.0
20160110:0400,12.89,98.65,0.0,-0.0,0.0,368.0,0.34,282.0,74454.0
20160110:0500,12.8,98.5,0.0,-0.0,0.0,368.6,0.07,341.0,74410.0
20160110:0600,12.8,98.9,0.0,-0.0,0.0,379.6,0.07,293.0,74366.0
20160110:0700,13.03,98.65,0.0,-0.0,0.0,386.4,0.28,316.0,74308.0
20160110:0800,12.98,98.7,0.0,-0.0,0.0,379.6,0.62,299.0,74286.0
20160110:0900,12.68,99.1,0.0,-0.0,0.0,360.8,0.48,312.0,74286.0
20160110:1000,12.74,98.75,0.0,-0.0,0.0,371.6,0.48,310.0,74300.0
20160110:1100,12.67,99.0,0.0,-0.0,0.0,378.4,0.76,283.0,74293.0
20160110:1200,12.65,99.1,158.95,398.74,81.55,370.0,0.9,272.0,74410.0
20160110:1300,13.51,93.9,339.0,577.68,97.2,364.4,0.69,261.0,74491.0
20160110:1400,14.8,89.0,541.55,605.2,170.9,354.8,0.9,274.0,74513.0
20160110:1500,15.61,83.9,691.75,636.31,206.55,358.0,1.03,284.0,74476.0
20160110:1600,16.74,70.25,702.6,558.3,223.25,356.8,1.31,276.0,74432.0
20160110:1700,17.78,62.2,704.9,589.43,177.9,352.8,1.66,276.0,74315.0
20160110:1800,17.46,68.1,792.9,737.26,154.0,357.4,1.86,270.0,74242.0
20160110:1900,18.63,60.5,546.9,468.9,182.1,349.0,2.34,273.0,74161.0
20160110:2000,17.9,65.15,414.3,454.35,126.1,364.2,2.21,265.0,74161.0
20160110:2100,16.81,75.65,186.35,231.28,83.35,357.0,2.0,261.0,74213.0
20160110:2200,15.23,83.55,59.2,144.43,26.85,366.8,1.52,282.0,74249.0
20160110:2300,14.05,86.1,0.0,-0.0,0.0,350.6,1.45,285.0,74278.0
20160111:0000,13.41,92.1,0.0,-0.0,0.0,360.0,0.76,273.0,74396.0
20160111:0100,12.69,98.85,0.0,-0.0,0.0,348.25,0.55,280.0,74425.0
20160111:0200,12.54,97.75,0.0,-0.0,0.0,352.6,0.14,344.0,74505.0
20160111:0300,12.13,98.85,0.0,-0.0,0.0,352.2,0.48,93.0,74527.0
20160111:0400,11.97,98.4,0.0,-0.0,0.0,350.4,0.48,89.0,74542.0
20160111:0500,11.9,99.15,0.0,-0.0,0.0,361.2,0.41,89.0,74498.0
20160111:0600,12.1,98.85,0.0,-0.0,0.0,368.0,0.34,77.0,74447.0
20160111:0700,12.05,99.2,0.0,-0.0,0.0,365.4,0.41,23.0,74388.0
20160111:0800,12.29,98.75,0.0,-0.0,0.0,367.4,0.41,358.0,74366.0
20160111:0900,12.12,99.05,0.0,-0.0,0.0,376.2,0.62,323.0,74374.0
20160111:1000,12.14,99.3,0.0,-0.0,0.0,384.6,0.55,318.0,74396.0
20160111:1100,12.17,99.4,0.0,-0.0,0.0,385.8,0.69,306.0,74454.0
20160111:1200,12.29,99.3,126.3,188.84,89.85,374.2,0.76,293.0,74505.0
20160111:1300,12.7,96.8,352.1,569.44,114.15,374.6,0.55,280.0,74556.0
20160111:1400,14.24,90.65,573.85,668.49,164.6,344.8,0.69,271.0,74615.0
20160111:1500,16.08,86.3,658.7,574.49,220.5,359.6,1.03,257.0,74549.0
20160111:1600,17.36,86.25,598.95,457.17,206.1,367.4,1.66,263.0,74491.0
20160111:1700,16.8,84.85,670.25,542.03,185.0,363.6,1.59,264.0,74403.0
20160111:1800,17.83,84.4,758.45,701.22,149.7,357.0,1.72,268.0,74337.0
20160111:1900,17.62,75.1,625.85,584.56,170.0,353.6,2.07,266.0,74271.0
20160111:2000,17.63,81.4,385.15,362.87,154.25,347.8,1.86,258.0,74176.0
20160111:2100,16.6,86.65,239.0,334.15,89.5,356.0,1.52,257.0,74183.0
20160111:2200,15.85,88.0,48.9,45.58,38.6,361.4,1.38,256.0,74278.0
20160111:2300,13.69,95.35,0.0,-0.0,0.0,347.2,1.24,245.0,74366.0
20160112:0000,13.03,95.1,0.0,-0.0,0.0,352.6,0.97,249.0,74469.0
20160112:0100,12.63,98.7,0.0,-0.0,0.0,359.85,0.62,235.0,74527.0
20160112:0200,12.52,99.05,0.0,-0.0,0.0,363.4,0.48,253.0,74549.0
20160112:0300,12.37,98.9,0.0,-0.0,0.0,360.2,0.41,282.0,74593.0
20160112:0400,12.18,99.3,0.0,-0.0,0.0,362.8,0.34,291.0,74593.0
20160112:0500,11.94,99.75,0.0,-0.0,0.0,359.4,0.34,297.0,74586.0
20160112:0600,11.81,99.75,0.0,-0.0,0.0,361.4,0.28,313.0,74535.0
20160112:0700,11.66,99.2,0.0,-0.0,0.0,359.6,0.41,83.0,74461.0
20160112:0800,11.47,98.8,0.0,-0.0,0.0,349.2,0.55,99.0,74432.0
20160112:0900,11.46,98.85,0.0,-0.0,0.0,356.8,0.55,102.0,74447.0
20160112:1000,11.3,98.9,0.0,-0.0,0.0,352.6,0.69,97.0,74439.0
20160112:1100,11.27,98.95,0.0,-0.0,0.0,353.8,0.69,93.0,74498.0
20160112:1200,11.88,95.25,189.7,466.46,100.15,360.4,1.1,107.0,74535.0
20160112:1300,13.16,89.45,424.1,654.93,150.85,354.8,0.62,135.0,74593.0
20160112:1400,15.08,77.35,666.4,881.53,126.9,335.6,0.48,216.0,74586.0
20160112:1500,17.21,63.4,789.5,797.06,181.3,342.0,0.83,268.0,74542.0
20160112:1600,18.75,54.3,778.3,572.34,286.05,352.0,1.38,276.0,74454.0
20160112:1700,19.06,54.95,861.9,803.45,141.65,357.0,1.86,273.0,74352.0
20160112:1800,19.01,58.55,814.25,772.5,142.4,343.4,2.28,272.0,74257.0
20160112:1900,19.27,58.2,629.85,575.05,180.35,343.8,2.34,278.0,74191.0
20160112:2000,18.67,62.05,444.9,526.61,108.75,342.8,2.28,277.0,74169.0
20160112:2100,17.39,67.7,247.9,355.2,88.25,357.0,2.0,270.0,74198.0
20160112:2200,16.32,73.55,59.35,158.15,23.3,349.6,1.66,268.0,74242.0
20160112:2300,15.33,77.8,0.0,-0.0,0.0,344.8,1.1,271.0,74300.0
20160113:0000,14.38,84.7,0.0,-0.0,0.0,350.4,0.83,282.0,74352.0
20160113:0100,13.95,87.65,0.0,-0.0,0.0,357.05,0.55,299.0,74410.0
20160113:0200,13.32,94.05,0.0,-0.0,0.0,348.0,0.34,304.0,74469.0
20160113:0300,12.89,94.2,0.0,-0.0,0.0,340.4,0.14,294.0,74513.0
20160113:0400,12.79,97.45,0.0,-0.0,0.0,362.8,0.14,223.0,74520.0
20160113:0500,12.6,99.0,0.0,-0.0,0.0,365.2,0.34,206.0,74505.0
20160113:0600,12.49,98.7,0.0,-0.0,0.0,362.4,0.41,208.0,74461.0
20160113:0700,12.23,98.55,0.0,-0.0,0.0,365.4,0.21,126.0,74410.0
20160113:0800,12.24,98.75,0.0,-0.0,0.0,368.6,0.34,131.0,74396.0
20160113:0900,12.24,98.8,0.0,-0.0,0.0,374.8,0.41,150.0,74396.0
20160113:1000,12.21,98.8,0.0,-0.0,0.0,373.2,0.41,145.0,74447.0
20160113:1100,12.17,98.95,0.0,-0.0,0.0,371.4,0.41,147.0,74483.0
20160113:1200,12.38,98.05,112.8,286.68,58.05,380.4,0.41,194.0,74549.0
20160113:1300,12.96,90.2,213.8,252.38,108.65,372.4,0.48,230.0,74578.0
20160113:1400,14.21,82.3,424.4,395.26,182.55,366.2,0.69,234.0,74593.0
20160113:1500,15.26,78.75,616.6,520.76,219.05,355.8,0.76,230.0,74549.0
20160113:1600,16.68,70.25,547.4,424.62,181.85,372.4,1.24,264.0,74476.0
20160113:1700,16.28,73.95,655.4,498.5,207.9,371.4,1.59,272.0,74425.0
20160113:1800,16.89,70.25,649.25,423.32,280.4,371.2,1.72,275.0,74344.0
20160113:1900,16.83,70.5,500.5,293.41,270.6,360.2,1.72,272.0,74293.0
20160113:2000,16.99,74.75,285.0,180.76,169.25,373.6,1.79,264.0,74242.0
20160113:2100,15.44,79.7,191.4,126.13,134.45,368.0,1.31,266.0,74235.0
20160113:2200,14.83,82.05,46.35,31.97,39.0,346.4,1.17,259.0,74344.0
20160113:2300,13.88,87.25,0.0,-0.0,0.0,351.0,0.83,252.0,74344.0
20160114:0000,13.48,89.75,0.0,-0.0,0.0,352.8,0.55,266.0,74447.0
